5431,3003
8949,5783
2855,2082
12888,1439
10729,5058
6473,3313
838,547
6510,4607
3543,1722
9425,5438
1769,1103
6109,3242
1803,1395
1705,817
3727,2743
1388,1033
869,382
1260,728
4051,1822
4104,2086
1727,616
2430,1486
1393,0
5554,1893
7195,1846
5037,2407
1269,379
8248,4975
2079,398
8234,3692
2873,0
5647,3321
22894,1208
4374,2640
4903,1549
1838,388
1332,101
1825,1173
2927,592
3221,2226
1694,452
3965,1920
2293,1266
4782,1790
692,101
2512,1502
4063,1851
9197,2043
2552,1788
781,0
2493,602
2046,980
3620,651
1550,763
4767,2485
3464,567
2649,1686
9494,4055
532,269
2244,1637
754,502
2550,1090
1061,333
4460,2307
1027,392
2357,940
895,0
7752,3942
1300,482
4143,2127
1832,775
2137,1183
1532,502
367,164
2148,1505
969,391
1306,153
839,510
1798,699
2166,1494
285,12
1093,543
4637,1583
5098,2184
3949,488
1558,565
1599,136
697,417
3481,1630
2081,1528
2231,1259
617,376
661,149
3210,1480
516,304
969,598
694,367
1398,505
1835,1442
25637,1523
1242,1258
641,400
1045,220
8924,4738
4958,2416
3803,2245
571,201
7955,2689
3443,574
816,257
885,241
13849,2685
886,202
729,45
908,594
2288,410
532,144
578,380
3248,961
404,31
1193,393
1186,195
2042,813
9446,1404
190,65
3389,638
2363,805
5638,3101
3638,885
2599,1656
977,379
1567,430
1823,348
1039,277
2174,453
4402,715
3012,513
1107,404
685,113
3518,377
1864,209
1884,252
2066,226
1296,184
5824,183
1076,196
1784,807
3481,1392
473,168
4413,1232
3734,658
5015,1950
1990,699
9583,5243
1456,126
13275,789
3793,504
2012,638
1266,471
865,209
897,353
7661,3411
1910,377
1627,623
278,99
2392,445
4711,1606
588,330
1516,460
859,390
788,361
1448,502
1328,443
662,243
364,191
325,189
661,330
742,360
1478,199
908,498
736,66
5451,591
1266,171
805,95
3836,1848
581,246
348,180
246,127
212,113
3607,1726
1066,148
418,106
677,190
11250,4918
1810,320
6950,793
484,94
2338,1516
888,254
275,112
202,92
195,58
197,66
1172,436
920,333
246,65
257,145
199,67
195,56
192,60
770,249
753,179
1850,444
1790,478
290,63
1161,406
997,383
1216,336
1479,616
221,48
1192,277
10245,417
3783,127
3365,2231
303,101
8805,3744
1080,193
206,26
2767,903
2302,587
1094,419
3805,239
403,99
2152,160
3058,23
1830,136
257,58
4844,2471
645,120
425,9
745,51
1270,55
494,296
691,472
1324,27
4897,282
2182,513
502,19
1955,587
547,40
1000,9
446,51
1206,233
552,70
2810,138
759,45
416,53
5346,1417
462,12
803,63
1274,254
228,5
923,121
379,35
639,43
828,166
1710,94
1271,202
283,24
2814,1510
187,4
1933,268
2066,94
1663,127
715,92
3473,947
1515,339
928,207
515,46
3969,320
1518,18
281,2
792,65
1051,70
1232,128
305,20
267,20
974,49
208,8
364,38
